fips,name,type,category,year,actualization,bf_per_capita,velocity,newness,index
01,Alabama,Total,Total,2005,0.1866789656159547,0.12842998771282363,1.2299710342477423,,1.0338148998618832
01,Alabama,Total,Total,2006,0.16446903696727103,0.12071771303446698,1.224547244094488,0.08013904034896402,0.9998771907286753
01,Alabama,Total,Total,2007,0.14895876349477907,0.10807132279299098,1.2490376237623761,0.07374309206092465,0.96864754276912
01,Alabama,Total,Total,2008,0.1234649537124504,0.08310362031670512,1.3030349400663095,0.0645684531923014,0.9132545245654802
01,Alabama,Total,Total,2009,0.1205945085824559,0.07486436351209284,1.391583380123526,0.05294952304688049,0.8877951481959724
01,Alabama,Total,Total,2010,0.12102879434030878,0.07650294006587068,1.4760611854684513,0.05166078247712371,0.8684400010344633
01,Alabama,Total,Total,2011,0.12083375976529186,0.07380598195191608,1.545590062111801,0.052601536772777166,0.8512439207612505
01,Alabama,Total,Total,2012,0.11461146114611462,0.07139315074296224,1.5495317044793484,0.052310272289971906,0.8402517536163866
01,Alabama,Total,Total,2013,0.11409713995599932,0.06979179024119885,1.6681696825867693,0.05032906899356652,0.8101635038721685
01,Alabama,Total,Total,2014,0.11839272901219804,0.07156430905124314,1.7076969696969697,0.0493543801457087,0.8067953345227225
01,Alabama,Total,Total,2015,0.11088089407923651,0.07278951814451852,1.7675594563986412,0.053231544619033504,0.7799226590309514
01,Alabama,Total,Total,2016,0.10057264539149953,0.07186145851003131,1.7707725321888412,0.051732237228420436,0.7632150656185623
01,Alabama,Total,Total,2017,0.0955642443036268,0.0727051016250739,1.899492099322799,0.051326007326007325,0.7224892420706625
01,Alabama,Total,Total,2018,0.09178789745533811,0.07926049183651716,,0.05260842790534002,
01,Alabama,Total,Total,2019,0.09165141150399846,0.07760261952180063,,0.05690926344988685,
01,Alabama,Total,Total,2020,0.07473594633828903,0.0910082470255197,,,
01,Alabama,Total,Total,2021,0.07879703633013904,,,,
02,Alaska,Total,Total,2005,,,,,
02,Alaska,Total,Total,2006,,,,,
02,Alaska,Total,Total,2007,,,,,
02,Alaska,Total,Total,2008,,,,,
02,Alaska,Total,Total,2009,,,,,
02,Alaska,Total,Total,2010,,,,,
02,Alaska,Total,Total,2011,,,,,
02,Alaska,Total,Total,2012,,,,,
02,Alaska,Total,Total,2013,,,,,
02,Alaska,Total,Total,2014,,,,,
02,Alaska,Total,Total,2015,,,,,
