region,demographic-type,demographic,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
00,,,1.490666464127716,1.542475770434473,1.5082132020169954,1.5747320344482607,1.7287244299632971,1.7500338604674366,1.770081700002781,1.7553573484534295,1.8776188145139847,1.9434233072924474,1.9840804315413476,2.0121066277372264,2.0552866468431135
01,,,1.2299710342477423,1.224547244094488,1.2490376237623761,1.3030349400663095,1.391583380123526,1.4760611854684513,1.545590062111801,1.5495317044793484,1.6681696825867693,1.7076969696969697,1.7675594563986412,1.7707725321888412,1.899492099322799
04,,,1.6244211620053683,1.6659023140949416,1.6391274238227147,1.6935403726708074,1.8654747892476538,1.8046766325727772,1.8525776044206077,1.8445789208270298,1.9557743471834454,2.038932941752325,2.1334714780964386,2.137281091857077,2.1932596604215457
05,,,1.1931018518518517,1.3452569593147752,1.2570319240724763,1.2720746590093324,1.4149455252918288,1.4828870779976717,1.4994028103044497,1.4321299212598426,1.480757575757576,1.7217981072555204,1.6869733840304182,1.7584112149532711,1.7796196868008947
06,,,1.4599215824688478,1.5147067798858964,1.482526296533431,1.552603006073317,1.699382250510388,1.7279073197421317,1.7334127235680326,1.7429880415516816,1.8735907335907336,1.9422601337806755,1.9882104214406695,1.9946765656565657,2.035567398750756
08,,,1.522013809981645,1.562598287450511,1.5259681458479415,1.5523428501409142,1.7224569344901293,1.786290450928382,1.808125085722123,1.7266590878694663,1.9427206165703275,1.977407363278923,2.106589254766031,2.1258344129077846,2.1206231003039515
09,,,1.5060943704741883,1.6089220522940306,1.5588339811215992,1.6132378706199462,1.6923607142857142,1.7660935350756535,1.7482517006802722,1.7184631217838764,1.871191399365527,2.0429439421338156,1.9613813708260106,2.0588749046529364,2.0594478976234005
10,,,1.6981366047745359,1.7539473684210527,,,,1.9072148541114058,,,,2.2196645865834634,2.1553235294117647,2.1989263157894734,2.2908013698630136
12,,,1.8629773105838925,1.8894740671447876,1.8314448007329365,1.9493826840468078,2.059322638146168,2.0734342182030336,2.060865532676813,2.045937249471613,2.1642152652721984,2.19726724513384,2.2131388258190077,2.251331944534861,2.2637876590945702
13,,,1.5739794648413192,1.600417891373802,1.5655139109124985,1.6491396178111,1.8087355976355073,1.7968946689169065,1.830507603988317,1.8376173613921492,1.9375632784250705,2.0450353188239787,2.0834839376291567,2.070484910772681,2.1567710425415374
15,,,,,,,,,2.044478048780488,,2.13585086042065,,2.252546125461255,,
16,,,1.272318662404721,1.2514036418816388,1.2352768220206445,1.3982203760384784,1.5160220125786164,1.585880149812734,1.6767375518672198,1.5481676518001073,1.633199806949807,1.6844691943127963,1.7842863321799305,1.8972734405649272,1.8492403214024837
17,,,1.6857247858524453,1.701081414473684,1.6514020397884663,1.6843756677826056,1.8784474678760394,1.8576283436405632,1.8714264275530876,1.8314762728434986,1.9783506799361847,2.0430224023243366,2.0357039738621685,2.0603550901503818,2.1307090719499477
18,,,1.3393892634854774,1.412726651169151,1.35685110211426,1.4936948703388226,1.632109695973706,1.6474331769026729,1.686919374247894,1.6345249950209124,1.8383422240459582,1.8564607218683653,1.8942354832228252,1.97,1.987728267356276
19,,,1.1713282216176109,1.2872245822713113,,1.2345913714486145,1.401329479768786,1.4591421012849584,1.4652338269680436,1.47989449003517,1.6463092369477914,1.6513313977602655,1.7783212790255043,1.8558828006088282,1.724502487562189
20,,,1.1936055396370582,1.2578800856531047,1.3059382217090068,1.2703241053342336,,1.4942809977989728,1.5649190356243252,1.5701584307808374,1.5984295696947408,1.7056907525271432,1.6881856839121192,1.748071748878924,1.7809445745511319
21,,,1.3005503439649782,1.3345698924731184,1.3390598919980363,1.321340569081842,1.447325053014238,1.5374843517138599,1.5225810360496819,1.575675105485232,1.5998677780971544,1.7137391304347827,1.7629781336618415,1.817470792548153,1.8309330371310697
22,,,1.4949382716049382,1.5826946107784432,1.5760113613308988,1.5678157894736842,1.6949418604651163,1.7615079159096807,1.7610042574505387,1.8085026455026456,1.8273432432432433,1.8789286668447769,2.008542499333866,2.018379746835443,2.0576306712655876
23,,,,,,,,,,,,,,1.7394535878867676,
24,,,1.6084906120458424,1.6740755573354693,1.6969391518131531,1.7082869664634146,1.8595602372673348,1.9739233954451345,1.957621776504298,1.873985536359984,2.0312587149048427,2.1322904045339066,2.2370766590389017,2.2173648915187374,2.268272302298403
25,,,1.4262491881359602,1.4724514798641435,1.4467105963791265,1.5602528735632184,1.6792263518902535,1.7871448254745868,1.8154456216889996,1.779383551566868,1.8810029325513198,1.9312923666371942,1.9520759389186957,1.9644397934979767,1.972741957377494
26,,,1.444566553453016,1.5929303278688525,1.5359047333732774,1.5896882120158293,1.7689940904419321,1.7564568413117225,1.765401218892839,1.7775675321269342,1.897172325432415,1.9756126229717643,1.974196497553438,2.045685325660476,2.0426853039240833
27,,,1.4429448204657565,1.4856993288590603,1.4876442307692308,1.5192968887326421,1.7443654732364409,1.7354282945736432,1.7360643216080403,1.692980675385516,1.7934091785576551,1.8573221515326779,1.9225202354672553,1.9050864525935778,1.9985904003035477
28,,,1.2421779788838612,,1.2835540765391014,1.365883630047764,1.4689218974604694,1.4472093023255814,1.482130518234165,1.4951791686574294,,1.6329007992477667,1.7940839160839162,1.7659234449760766,1.7754693675889328
29,,,1.224670311997427,1.1774031308981903,1.2274034656842678,1.269568462037638,1.4443783967391304,1.5111247234983833,1.485977127480659,1.4668802862719583,1.474909291686386,1.4756538344026886,1.544552674958789,1.579796729329054,1.814128800819952
30,,,1.2318614389036924,1.28210840972499,,,,,,,,,1.766202153110048,1.8974906832298137,1.9339151515151516
31,,,1.1746963562753037,,1.2746256454388984,,,,1.554790174002047,,1.5466839916839918,1.6930784810126582,1.7517635933806146,1.7117262756318552,1.7883645320197046
32,,,1.7706849785407726,1.8294818847381265,1.7384855515713984,1.8194713656387667,1.904618006248225,1.898363489062922,1.984808891298455,1.9183464360587001,2.1053614157527414,2.117163838946569,2.094376227897839,2.1710790233657127,2.1452001989554836
33,,,1.256502156205079,,,,,,,,,,,,1.8184310738766183
34,,,1.658382373066922,1.7491886708954123,1.713178159488839,1.7969746394828445,1.9873998356276965,1.9829552652414884,1.989784023668639,1.9726139064976227,2.058290220213482,2.1385760387252923,2.1456241220148504,2.145672490857375,2.1845341614906832
35,,,1.317040056717476,1.3900388829975256,1.3496264367816093,1.3504598281960587,1.5842839951865222,1.5914511410181393,,1.6074082982561635,1.6919327731092437,1.7535701163502755,,,1.9728815556865056
36,,,1.7173543962925852,1.779745372637352,1.730596135964459,1.809441608897692,1.8895040693694378,1.9120145996111662,1.9478388903311947,1.9305975962608504,2.02409886041954,2.075981319232699,2.109190300041101,2.1381235458352723,2.1787948978793334
37,,,1.4497527961815202,1.4921283656384343,1.440225408137897,1.5461419528899034,1.6962099702872233,1.661401025412394,1.6699608430266037,1.6742766277321617,1.817946150422786,1.9013696865607557,1.9044520616997682,1.89953062008063,1.9723216108378954
39,,,1.355429110600591,1.4563079128954208,1.4198750371913123,1.4783612240019124,1.6565654235550429,1.6714023924662762,1.724604526958291,1.6961286579863348,1.850076489533011,1.9022543196544277,1.9551546530392685,1.9788713527851458,2.0498999459167115
40,,,1.2732506479081822,1.3529310681507518,1.3231719876416066,1.3438286109191429,1.547502744237102,1.5884429530201343,1.6808218478815722,1.576161616161616,1.7440982328482328,1.7000209533787325,1.8344285328289651,1.818706074639063,1.9525818080976152
41,,,1.3355954279638491,1.3996904629113218,1.3429574861367837,1.4431136900078678,1.6275973597359736,1.5943991275899672,1.6291923160881903,1.6281442392260332,1.6725399495374265,1.8382557668959936,1.8308292955646663,1.8757723132969035,1.9000018001800176
42,,,1.4334639933398086,1.5231271005194011,1.505686211854929,1.5600231570822076,1.7214046541012953,1.724153129849974,1.7677110790774297,1.7584567215432785,1.8704096161782915,1.9594207096307026,1.997994746944136,2.074609502446982,2.148040609137056
44,,,,,,,,,,,,1.9640767824497256,,,
45,,,1.3783103192279138,1.4713962023296632,1.4050664034458005,1.4776511732851985,1.6023726644484257,1.668608740625808,1.6666122343182996,1.6856515113030226,1.8265989847715738,1.9328091672339458,1.9155027870680046,1.9682027752909579,2.0573892631149215
47,,,1.173611329661684,1.2482726537216828,1.194805612394037,1.2515920679886685,1.3874560216508796,1.42747749473281,1.5289689907169663,1.4514377898769915,1.6521827209533266,1.7300530973451327,1.7879529816513762,1.7798105145829461,1.8337791230966796
48,,,1.3820434741872014,1.4296606163736056,1.4310687022900763,1.482459453197405,1.6201600096731288,1.6494793612074552,1.6566373906705538,1.6459666617603768,1.7991210507632232,1.8653929958414956,1.9384709148777681,1.993750657375756,2.0083263826510973
49,,,1.5393644000634015,1.5584377404956133,1.46550240880936,1.5449328477122697,1.7049699699699699,1.765009985022466,1.7207477322873255,1.7354552390640894,1.8362333825701624,1.87343639367477,1.9306545617574533,1.9054659308002546,2.0472523143588734
51,,,1.5030034450360164,1.5968018369292087,1.5750701754385965,1.6124185081186668,1.8121097433211106,1.82803804064617,1.8198438934802572,1.8507959367365308,1.9962345041322314,2.0536700125470513,2.072197292554525,2.0750574126052563,2.1777626653356625
53,,,1.2829890975166567,1.3473995872360693,1.2528983528206878,1.359046289335195,1.5488609008561858,1.5529095471382481,1.603662155745489,1.5593452524764435,1.7326533957845434,1.7928124311218867,1.8367869092429945,1.8902471350274042,1.890931610646979
55,,,1.305991245410901,1.3848043676069153,1.34259526261586,1.356711590296496,1.63035175879397,1.6166697674418606,1.6364327622623798,1.685649610940816,1.7588209404679176,1.8633486133394452,1.872222726241778,1.983342409802587,1.9401822429906541
56,,,,,,,,,,,,1.816582827406765,,,
