fips,region,time,firms
00,United States,1978,3557994
00,United States,1979,3692077
00,United States,1980,3739809
00,United States,1981,3770852
00,United States,1982,3720273
00,United States,1983,3829596
00,United States,1984,3995130
00,United States,1985,4075376
00,United States,1986,4160446
00,United States,1987,4225437
00,United States,1988,4310054
00,United States,1989,4384235
00,United States,1990,4448331
00,United States,1991,4415239
00,United States,1992,4415353
00,United States,1993,4492844
00,United States,1994,4575872
00,United States,1995,4674999
00,United States,1996,4723292
00,United States,1997,4778182
00,United States,1998,4855737
00,United States,1999,4885544
00,United States,2000,4905920
00,United States,2001,4916644
00,United States,2002,4931112
00,United States,2003,4992095
00,United States,2004,5085833
00,United States,2005,5168533
00,United States,2006,5257435
00,United States,2007,5294245
00,United States,2008,5233330
00,United States,2009,5092532
00,United States,2010,5019625
00,United States,2011,4996662
00,United States,2012,5043234
00,United States,2013,5068464
00,United States,2014,5106214
00,United States,2015,5151871
00,United States,2016,5219436
00,United States,2017,5252059
00,United States,2018,5288540
00,United States,2019,5324658
