fips,region,naics,industry,time,bf_march_shift
01,Alabama,00,Total for All NAICS,2005,
01,Alabama,00,Total for All NAICS,2006,5879.0
01,Alabama,00,Total for All NAICS,2007,5471.0
01,Alabama,00,Total for All NAICS,2008,4737.0
01,Alabama,00,Total for All NAICS,2009,3769.0
01,Alabama,00,Total for All NAICS,2010,3585.0
01,Alabama,00,Total for All NAICS,2011,3594.0
01,Alabama,00,Total for All NAICS,2012,3556.0
01,Alabama,00,Total for All NAICS,2013,3403.0
01,Alabama,00,Total for All NAICS,2014,3333.0
01,Alabama,00,Total for All NAICS,2015,3591.0
01,Alabama,00,Total for All NAICS,2016,3524.0
01,Alabama,00,Total for All NAICS,2017,3503.0
01,Alabama,00,Total for All NAICS,2018,3588.0
01,Alabama,00,Total for All NAICS,2019,3898.0
01,Alabama,00,Total for All NAICS,2020,3698.0
01,Alabama,00,Total for All NAICS,2021,5128.0
01,Alabama,00,Total for All NAICS,2022,5863.0
01,Alabama,00,Total for All NAICS,2023,
02,Alaska,00,Total for All NAICS,2005,
02,Alaska,00,Total for All NAICS,2006,
02,Alaska,00,Total for All NAICS,2007,
02,Alaska,00,Total for All NAICS,2008,
02,Alaska,00,Total for All NAICS,2009,
02,Alaska,00,Total for All NAICS,2010,
02,Alaska,00,Total for All NAICS,2011,
02,Alaska,00,Total for All NAICS,2012,
02,Alaska,00,Total for All NAICS,2013,
02,Alaska,00,Total for All NAICS,2014,
02,Alaska,00,Total for All NAICS,2015,
02,Alaska,00,Total for All NAICS,2016,
02,Alaska,00,Total for All NAICS,2017,
02,Alaska,00,Total for All NAICS,2018,
02,Alaska,00,Total for All NAICS,2019,982.0
02,Alaska,00,Total for All NAICS,2020,962.0
02,Alaska,00,Total for All NAICS,2021,985.0
02,Alaska,00,Total for All NAICS,2022,1053.0
02,Alaska,00,Total for All NAICS,2023,
04,Arizona,00,Total for All NAICS,2005,
04,Arizona,00,Total for All NAICS,2006,11841.0
04,Arizona,00,Total for All NAICS,2007,10526.0
04,Arizona,00,Total for All NAICS,2008,8754.0
04,Arizona,00,Total for All NAICS,2009,6589.0
04,Arizona,00,Total for All NAICS,2010,6319.0
04,Arizona,00,Total for All NAICS,2011,6341.0
04,Arizona,00,Total for All NAICS,2012,6066.0
04,Arizona,00,Total for All NAICS,2013,5974.0
04,Arizona,00,Total for All NAICS,2014,6083.0
04,Arizona,00,Total for All NAICS,2015,6240.0
04,Arizona,00,Total for All NAICS,2016,6324.0
04,Arizona,00,Total for All NAICS,2017,6642.0
04,Arizona,00,Total for All NAICS,2018,6945.0
04,Arizona,00,Total for All NAICS,2019,7374.0
04,Arizona,00,Total for All NAICS,2020,7518.0
04,Arizona,00,Total for All NAICS,2021,8998.0
04,Arizona,00,Total for All NAICS,2022,10770.0
04,Arizona,00,Total for All NAICS,2023,
05,Arkansas,00,Total for All NAICS,2005,
05,Arkansas,00,Total for All NAICS,2006,3923.0
05,Arkansas,00,Total for All NAICS,2007,3604.0
05,Arkansas,00,Total for All NAICS,2008,3299.0
