fips,region,naics,industry,time,bf_march_shift
00,U.S. Total,00,Total for All NAICS,2005,
00,U.S. Total,00,Total for All NAICS,2006,478635.0
00,U.S. Total,00,Total for All NAICS,2007,435247.0
00,U.S. Total,00,Total for All NAICS,2008,391789.0
00,U.S. Total,00,Total for All NAICS,2009,325375.0
00,U.S. Total,00,Total for All NAICS,2010,316089.0
00,U.S. Total,00,Total for All NAICS,2011,322585.0
00,U.S. Total,00,Total for All NAICS,2012,319909.0
00,U.S. Total,00,Total for All NAICS,2013,326089.0
00,U.S. Total,00,Total for All NAICS,2014,332496.0
00,U.S. Total,00,Total for All NAICS,2015,340699.0
00,U.S. Total,00,Total for All NAICS,2016,342642.0
00,U.S. Total,00,Total for All NAICS,2017,341666.0
00,U.S. Total,00,Total for All NAICS,2018,354337.0
00,U.S. Total,00,Total for All NAICS,2019,371404.0
00,U.S. Total,00,Total for All NAICS,2020,359015.0
00,U.S. Total,00,Total for All NAICS,2021,434420.0
00,U.S. Total,00,Total for All NAICS,2022,
