fips,region,naics,industry,time,ba,bf,avg_speed_annual
00,U.S. Total,00,Total for All NAICS,2004,,,
00,U.S. Total,00,Total for All NAICS,2005,2509369.0,480566.0,1.490666464127716
00,U.S. Total,00,Total for All NAICS,2006,2635489.0,448935.0,1.542475770434473
00,U.S. Total,00,Total for All NAICS,2007,2655495.0,406347.0,1.5082132020169954
00,U.S. Total,00,Total for All NAICS,2008,2523894.0,336853.0,1.5747320344482607
00,U.S. Total,00,Total for All NAICS,2009,2430718.0,315506.0,1.7287244299632971
00,U.S. Total,00,Total for All NAICS,2010,2499807.0,320728.0,1.7500338604674366
00,U.S. Total,00,Total for All NAICS,2011,2575139.0,323623.0,1.770081700002781
00,U.S. Total,00,Total for All NAICS,2012,2576281.0,323102.0,1.7553573484534295
00,U.S. Total,00,Total for All NAICS,2013,2611480.0,330936.0,1.8776188145139847
00,U.S. Total,00,Total for All NAICS,2014,2666848.0,333578.0,1.9434233072924474
00,U.S. Total,00,Total for All NAICS,2015,2823007.0,344069.0,1.9840804315413476
00,U.S. Total,00,Total for All NAICS,2016,2975531.0,342500.0,2.0121066277372264
00,U.S. Total,00,Total for All NAICS,2017,3196686.0,346053.0,2.0552866468431135
00,U.S. Total,00,Total for All NAICS,2018,3499020.0,375575.0,
00,U.S. Total,00,Total for All NAICS,2019,3514509.0,363830.0,
00,U.S. Total,00,Total for All NAICS,2020,4381415.0,396657.0,
00,U.S. Total,00,Total for All NAICS,2021,5385277.0,493624.0,
00,U.S. Total,00,Total for All NAICS,2022,,,
