fips,region,time,population
01,Alabama,1900,1830000
01,Alabama,1901,1907000
01,Alabama,1902,1935000
01,Alabama,1903,1957000
01,Alabama,1904,1978000
01,Alabama,1905,2012000
01,Alabama,1910,2150000
01,Alabama,1911,2185000
01,Alabama,1912,2217000
01,Alabama,1913,2279000
01,Alabama,1914,2336000
01,Alabama,1915,2345000
01,Alabama,1920,2359000
01,Alabama,1921,2402000
01,Alabama,1922,2434000
01,Alabama,1923,2464000
01,Alabama,1924,2501000
01,Alabama,1925,2534000
01,Alabama,1930,2647000
01,Alabama,1931,2649000
01,Alabama,1932,2653000
01,Alabama,1933,2661000
01,Alabama,1934,2685000
01,Alabama,1935,2719000
01,Alabama,1936,2743000
01,Alabama,1937,2762000
01,Alabama,1938,2787000
01,Alabama,1939,2814000
01,Alabama,1940,2845000
01,Alabama,1941,2902000
01,Alabama,1942,2941000
01,Alabama,1943,2902000
01,Alabama,1944,2802000
01,Alabama,1945,2775000
01,Alabama,1946,2911000
01,Alabama,1947,2942000
01,Alabama,1948,2969000
01,Alabama,1949,3000000
01,Alabama,1950,3058000
01,Alabama,1951,3059000
01,Alabama,1952,3068000
01,Alabama,1953,3053000
01,Alabama,1954,3014000
01,Alabama,1955,3050000
01,Alabama,1956,3071000
01,Alabama,1957,3109000
01,Alabama,1958,3163000
01,Alabama,1959,3204000
01,Alabama,1960,3274000
01,Alabama,1961,3316000
01,Alabama,1962,3323000
01,Alabama,1963,3358000
01,Alabama,1964,3395000
01,Alabama,1965,3443000
01,Alabama,1966,3464000
01,Alabama,1967,3458000
01,Alabama,1968,3446000
01,Alabama,1969,3440000
01,Alabama,1970,3444354
01,Alabama,1971,3497076
01,Alabama,1972,3539400
01,Alabama,1973,3579780
01,Alabama,1974,3626499
01,Alabama,1975,3678814
01,Alabama,1976,3735139
01,Alabama,1977,3780403
01,Alabama,1978,3831836
01,Alabama,1979,3866248
01,Alabama,1980,3893888
01,Alabama,1981,3918531
01,Alabama,1982,3925266
01,Alabama,1983,3934102
01,Alabama,1984,3951820
01,Alabama,1985,3972523
01,Alabama,1986,3991569
01,Alabama,1987,4015264
01,Alabama,1988,4023844
01,Alabama,1989,4030222
01,Alabama,1990,4048508
01,Alabama,1991,4091025
01,Alabama,1992,4139269
01,Alabama,1993,4193114
01,Alabama,1994,4232965
01,Alabama,1995,4262731
01,Alabama,1996,4290403
01,Alabama,1997,4320281
01,Alabama,1998,4351037
01,Alabama,1999,4369862
01,Alabama,2020,4921532
01,Alabama,2000,4452173
01,Alabama,2001,4467634
01,Alabama,2002,4480089
01,Alabama,2003,4503491
01,Alabama,2004,4530729
01,Alabama,2005,4569805
01,Alabama,2006,4628981
01,Alabama,2007,4672840
01,Alabama,2008,4718206
01,Alabama,2009,4757938
01,Alabama,2010,4785437
01,Alabama,2011,4799069
01,Alabama,2012,4815588
01,Alabama,2013,4830081
01,Alabama,2014,4841799
01,Alabama,2015,4852347
01,Alabama,2016,4863525
01,Alabama,2017,4874486
01,Alabama,2018,4887681
01,Alabama,2019,4903185
02,Alaska,1950,135000
02,Alaska,1951,158000
02,Alaska,1952,189000
02,Alaska,1953,205000
02,Alaska,1954,215000
02,Alaska,1955,222000
02,Alaska,1956,224000
02,Alaska,1957,231000
02,Alaska,1958,224000
02,Alaska,1959,224000
02,Alaska,1960,229000
02,Alaska,1961,238000
02,Alaska,1962,246000
02,Alaska,1963,256000
02,Alaska,1964,263000
02,Alaska,1965,271000
02,Alaska,1966,271000
02,Alaska,1967,278000
02,Alaska,1968,285000
02,Alaska,1969,296000
02,Alaska,1970,302583
02,Alaska,1971,315510
02,Alaska,1972,324464
02,Alaska,1973,330543
02,Alaska,1974,341063
02,Alaska,1975,376170
02,Alaska,1976,400969
02,Alaska,1977,403436
02,Alaska,1978,404766
02,Alaska,1979,402753
02,Alaska,1980,401851
02,Alaska,1981,418491
02,Alaska,1982,449606
02,Alaska,1983,488417
02,Alaska,1984,513702
02,Alaska,1985,532495
02,Alaska,1986,544268
02,Alaska,1987,539309
02,Alaska,1988,541983
02,Alaska,1989,547159
02,Alaska,1990,553120
02,Alaska,1991,569273
02,Alaska,1992,587073
02,Alaska,1993,596993
02,Alaska,1994,600624
02,Alaska,1995,601345
02,Alaska,1996,604918
02,Alaska,1997,608846
02,Alaska,1998,615205
02,Alaska,1999,619500
02,Alaska,2020,731158
02,Alaska,2000,627963
02,Alaska,2001,633714
02,Alaska,2002,642337
02,Alaska,2003,648414
02,Alaska,2004,659286
02,Alaska,2005,666946
02,Alaska,2006,675302
02,Alaska,2007,680300
02,Alaska,2008,687455
02,Alaska,2009,698895
02,Alaska,2010,713910
02,Alaska,2011,722128
02,Alaska,2012,730443
02,Alaska,2013,737068
02,Alaska,2014,736283
02,Alaska,2015,737498
02,Alaska,2016,741456
02,Alaska,2017,739700
02,Alaska,2018,735139
02,Alaska,2019,731545
04,Arizona,1900,124000
04,Arizona,1901,131000
04,Arizona,1902,138000
04,Arizona,1903,144000
04,Arizona,1904,151000
04,Arizona,1905,158000
04,Arizona,1906,167000
04,Arizona,1907,176000
04,Arizona,1908,186000
04,Arizona,1909,196000
04,Arizona,1910,206000
04,Arizona,1911,212000
04,Arizona,1912,217000
04,Arizona,1913,236000
04,Arizona,1914,253000
04,Arizona,1915,263000
04,Arizona,1916,282000
04,Arizona,1917,311000
04,Arizona,1918,320000
04,Arizona,1919,329000
04,Arizona,1920,340000
04,Arizona,1921,351000
04,Arizona,1922,360000
04,Arizona,1923,371000
04,Arizona,1924,382000
04,Arizona,1925,393000
04,Arizona,1926,403000
04,Arizona,1927,414000
04,Arizona,1928,422000
04,Arizona,1929,430000
04,Arizona,1930,434000
04,Arizona,1931,429000
04,Arizona,1932,426000
04,Arizona,1933,426000
04,Arizona,1934,428000
04,Arizona,1935,434000
04,Arizona,1936,443000
04,Arizona,1937,453000
04,Arizona,1938,466000
04,Arizona,1939,484000
04,Arizona,1940,499000
04,Arizona,1941,490000
04,Arizona,1942,524000
04,Arizona,1943,692000
04,Arizona,1944,610000
04,Arizona,1945,594000
04,Arizona,1946,616000
04,Arizona,1947,653000
04,Arizona,1948,690000
04,Arizona,1949,714000
04,Arizona,1950,756000
04,Arizona,1951,785000
04,Arizona,1952,842000
04,Arizona,1953,894000
04,Arizona,1954,933000
04,Arizona,1955,987000
04,Arizona,1956,1053000
04,Arizona,1957,1125000
04,Arizona,1958,1193000
04,Arizona,1959,1261000
04,Arizona,1960,1321000
04,Arizona,1961,1407000
04,Arizona,1962,1471000
04,Arizona,1963,1521000
04,Arizona,1964,1556000
04,Arizona,1965,1584000
04,Arizona,1966,1614000
04,Arizona,1967,1646000
04,Arizona,1968,1682000
04,Arizona,1969,1737000
04,Arizona,1970,1775399
04,Arizona,1971,1895814
04,Arizona,1972,2008291
04,Arizona,1973,2124438
04,Arizona,1974,2223196
04,Arizona,1975,2284847
04,Arizona,1976,2346157
04,Arizona,1977,2425197
04,Arizona,1978,2515316
04,Arizona,1979,2635571
04,Arizona,1980,2718215
04,Arizona,1981,2810107
04,Arizona,1982,2889861
04,Arizona,1983,2968925
04,Arizona,1984,3067135
04,Arizona,1985,3183538
04,Arizona,1986,3308262
04,Arizona,1987,3437103
04,Arizona,1988,3535183
04,Arizona,1989,3622185
04,Arizona,1990,3679056
04,Arizona,1991,3762394
04,Arizona,1992,3867333
04,Arizona,1993,3993390
04,Arizona,1994,4147561
04,Arizona,1995,4306908
04,Arizona,1996,4432308
04,Arizona,1997,4552207
04,Arizona,1998,4667277
04,Arizona,1999,4778332
04,Arizona,2020,7421401
04,Arizona,2000,5160586
04,Arizona,2001,5273477
04,Arizona,2002,5396255
04,Arizona,2003,5510364
04,Arizona,2004,5652404
04,Arizona,2005,5839077
04,Arizona,2006,6029141
04,Arizona,2007,6167681
04,Arizona,2008,6280362
04,Arizona,2009,6343154
04,Arizona,2010,6407172
04,Arizona,2011,6472643
04,Arizona,2012,6554978
04,Arizona,2013,6632764
04,Arizona,2014,6730413
04,Arizona,2015,6829676
04,Arizona,2016,6941072
04,Arizona,2017,7044008
04,Arizona,2018,7158024
04,Arizona,2019,7278717
05,Arkansas,1900,1314000
05,Arkansas,1901,1341000
05,Arkansas,1902,1360000
05,Arkansas,1903,1384000
05,Arkansas,1904,1419000
05,Arkansas,1905,1447000
05,Arkansas,1906,1465000
05,Arkansas,1907,1484000
05,Arkansas,1908,1513000
05,Arkansas,1909,1545000
05,Arkansas,1910,1583000
05,Arkansas,1911,1610000
05,Arkansas,1912,1636000
05,Arkansas,1913,1664000
05,Arkansas,1914,1688000
05,Arkansas,1915,1702000
05,Arkansas,1916,1719000
05,Arkansas,1917,1737000
05,Arkansas,1918,1749000
05,Arkansas,1919,1742000
05,Arkansas,1920,1756000
05,Arkansas,1921,1769000
05,Arkansas,1922,1772000
05,Arkansas,1923,1784000
05,Arkansas,1924,1800000
05,Arkansas,1925,1812000
05,Arkansas,1926,1826000
05,Arkansas,1927,1840000
05,Arkansas,1928,1847000
05,Arkansas,1929,1852000
05,Arkansas,1930,1859000
05,Arkansas,1931,1848000
05,Arkansas,1932,1836000
05,Arkansas,1933,1854000
05,Arkansas,1934,1878000
05,Arkansas,1935,1890000
05,Arkansas,1936,1892000
05,Arkansas,1937,1903000
05,Arkansas,1938,1928000
05,Arkansas,1939,1948000
05,Arkansas,1940,1955000
05,Arkansas,1941,1969000
05,Arkansas,1942,1977000
05,Arkansas,1943,1843000
05,Arkansas,1944,1768000
05,Arkansas,1945,1762000
05,Arkansas,1946,1797000
05,Arkansas,1947,1836000
05,Arkansas,1948,1825000
05,Arkansas,1949,1844000
05,Arkansas,1950,1908000
05,Arkansas,1951,1901000
05,Arkansas,1952,1838000
05,Arkansas,1953,1780000
05,Arkansas,1954,1734000
05,Arkansas,1955,1725000
05,Arkansas,1956,1704000
05,Arkansas,1957,1733000
05,Arkansas,1958,1726000
05,Arkansas,1959,1756000
05,Arkansas,1960,1789000
05,Arkansas,1961,1806000
05,Arkansas,1962,1853000
05,Arkansas,1963,1875000
05,Arkansas,1964,1897000
05,Arkansas,1965,1894000
05,Arkansas,1966,1899000
05,Arkansas,1967,1901000
05,Arkansas,1968,1902000
05,Arkansas,1969,1913000
05,Arkansas,1970,1923322
05,Arkansas,1971,1972312
05,Arkansas,1972,2018638
05,Arkansas,1973,2059256
05,Arkansas,1974,2101403
05,Arkansas,1975,2159526
05,Arkansas,1976,2170161
05,Arkansas,1977,2209010
05,Arkansas,1978,2243127
05,Arkansas,1979,2271333
05,Arkansas,1980,2286435
05,Arkansas,1981,2293201
05,Arkansas,1982,2294257
05,Arkansas,1983,2305761
05,Arkansas,1984,2319768
05,Arkansas,1985,2327046
05,Arkansas,1986,2331984
05,Arkansas,1987,2342355
05,Arkansas,1988,2342656
05,Arkansas,1989,2346358
05,Arkansas,1990,2354343
05,Arkansas,1991,2370666
05,Arkansas,1992,2394098
05,Arkansas,1993,2423743
05,Arkansas,1994,2450605
05,Arkansas,1995,2480121
05,Arkansas,1996,2504858
05,Arkansas,1997,2524007
05,Arkansas,1998,2538202
05,Arkansas,1999,2551373
05,Arkansas,2020,3030522
05,Arkansas,2000,2678588
05,Arkansas,2001,2691571
05,Arkansas,2002,2705927
05,Arkansas,2003,2724816
05,Arkansas,2004,2749686
05,Arkansas,2005,2781097
05,Arkansas,2006,2821761
05,Arkansas,2007,2848650
05,Arkansas,2008,2874554
05,Arkansas,2009,2896843
05,Arkansas,2010,2921964
05,Arkansas,2011,2940667
05,Arkansas,2012,2952164
05,Arkansas,2013,2959400
05,Arkansas,2014,2967392
05,Arkansas,2015,2978048
05,Arkansas,2016,2989918
05,Arkansas,2017,3001345
05,Arkansas,2018,3009733
05,Arkansas,2019,3017804
06,California,1900,1490000
06,California,1901,1550000
06,California,1902,1623000
06,California,1903,1702000
06,California,1904,1792000
06,California,1905,1893000
06,California,1906,1976000
06,California,1907,2054000
06,California,1908,2161000
06,California,1909,2282000
06,California,1910,2406000
06,California,1911,2534000
06,California,1912,2668000
06,California,1913,2811000
06,California,1914,2934000
06,California,1915,3008000
06,California,1916,3071000
06,California,1917,3171000
06,California,1918,3262000
06,California,1919,3339000
06,California,1920,3554000
06,California,1921,3795000
06,California,1922,3991000
06,California,1923,4270000
06,California,1924,4541000
06,California,1925,4730000
06,California,1926,4929000
06,California,1927,5147000
06,California,1928,5344000
06,California,1929,5531000
06,California,1930,5711000
06,California,1931,5824000
06,California,1932,5894000
06,California,1933,5963000
06,California,1934,6060000
06,California,1935,6175000
06,California,1936,6341000
06,California,1937,6528000
06,California,1938,6656000
06,California,1939,6785000
